269,BIT316M,67731557232265764,,,1,0,1558281600,第一批,1000,0,1557232343
270,WAIC-DONGLE-V1,46701557280424495,,,1,0,1557590400,第二批,300,0,1557280566
271,WAIC_V1.0.6半高PCIE,29071557285981382,,,1,0,1558454400,3,35,0,1557286055
272,AR3333B,45021557296029373,,,1,0,1558713600,4,35,0,1557296080
273,WX6666,04921557296933797,,,1,0,1559059200,5,50,0,1557296981
274,XIAOA123,57491557298094343,,,1,0,1559404800,6,600,0,1557298121
275,NIU666,45361557298602176,,,1,0,1559750400,7,550,0,1557298744
276,BAO123,45401557299112872,,,1,0,1559836800,8,450,0,1557299133
277,HAHA123,57111557299593864,,,1,0,1559923200,9,360,0,1557299637
278,ICREA777,29601557300237512,,,1,0,1560268800,10,500,0,1557300368
