96,1,招商方向,后台->店铺->开店首页->入驻指南->编辑内容,,1399284217,1,1
97,2,招商标准,后台->店铺->开店首页->入驻指南->编辑内容,,1399281053,1,1
98,3,资质要求,后台->店铺->开店首页->入驻指南->编辑内容,,1399282350,1,1
99,4,资费标准,后台->店铺->开店首页->入驻指南->编辑内容,,1399282379,1,1
101,155,签署入驻协议,签署入驻协议(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392949932,99,1
102,156,商家信息提交,商家信息提交(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392949961,99,1
103,157,平台审核资质,平台审核资质(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392949991,99,1
104,158,商家缴纳费用,商家缴纳费用(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950031,99,1
105,159,店铺开通,店铺开通(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950076,99,1
106,255,商品发布规则,商品发布规则(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950396,91,1
107,255,商品规格及属性,商品规格及属性(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950481,92,1
108,255,限时折扣说明,限时折扣说明(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950523,93,1
109,255,订单商品退款,订单商品退款(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950670,94,1
110,255,续约流程及费用,续约流程及费用(后台->店铺->店铺帮助->帮助内容->编辑内容),,1392950739,95,1
