1,Yamaha SMT贴片机飞达CL12mm KW1-M2200-30X,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122410142615977.jpg,N;,<p>Yamaha SMT贴片机飞达CL12mm KW1-M2200-30X<br/></p>,,1,,1,,0,1545617801,0,,890.00,1200.00,0.00,74.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
2,JUKI吸嘴系列SMT配件,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122410333419604.jpg,N;,"<p><span style=""color: rgb(51, 51, 51); font-family: &quot;Microsoft YaHei&quot;, 宋体; background-color: rgb(255, 255, 255);"">供应原装全新JUKI 500吸嘴(40011046),501吸嘴(40001399)，JUKI 502吸嘴(40001340)，JUKI 503吸嘴(40001341)，JUKI 504吸嘴(40001342)，JUKI 505吸嘴(40001343)，JUKI 506吸嘴(40001344)，JUKI 507吸嘴(40001345)，JUKI 508吸嘴(40001346)及JUKI 512，517，521,802,803,805等异形吸嘴，及其它 JUKI贴片机配件(如:飞达,电磁阀,坦克链,镭射,板卡,马达,驱动器,显示屏,硬盘,真空感应器,O型圈等)</span><br/></p>",,1,,1,,0,1545618932,0,,300.00,580.00,0.00,51.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
3,锡线 松香焊锡丝750g0.6mm0.8mm1.0mm1.2mm焊接耗材,,5,5,0,0,手工焊锡,1,做多多,N;,N;,0,,0,1_2018122410455759348.jpg,N;,<p>锡线 松香焊锡丝750g0.6mm0.8mm1.0mm1.2mm焊接耗材<br/></p>,,1,,1,,0,1545619605,0,,90.00,138.00,0.00,65.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
4,雅马哈 YS12振动飞达,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122411115553414.jpg,,,,1,,1,,0,1545620734,0,,880.00,1500.00,0.00,58.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
5,juki重机CF/CTF款8MM飞达 juki飞达,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122411282656747.jpg,N;,,,1,,1,,0,1545622137,0,,690.00,780.00,0.00,88.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
6,直销SMT回流焊测温线 带插头耐高温测试线,,17,17,0,0,回流焊设备,1,做多多,N;,N;,0,,0,1_2018122411344163561.jpg,N;,,,1,,1,,0,1545622490,0,,149.00,188.00,0.00,79.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
7,直销三星CP45 8MM铁齿轮 J7000773 J2500438 J7065565A,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122411594299026.jpg,N;,,,1,,1,,0,1545623997,0,,20.00,39.00,0.00,51.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
8,JUKI2060感应器APM-D3A1 质量保证 SMT SENSOR,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122412020753375.jpg,N;,,,1,,1,,0,1545624133,0,,390.00,488.00,0.00,79.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
9,松下上下极限感应器 PM-L24 (FE49) 原装全新SMT SENSOR,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2018122412073318786.jpg,N;,,,1,,1,,0,1545624457,0,,90.00,120.00,0.00,75.0,,0,0,,1,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
10,Yamaha YS24,,16,16,0,0,贴片机设备,1,做多多,N;,N;,0,,0,1_2019032815043767540.jpg,,<p>二手翻新Yamaha，状况良好。</p>,,1,,1,,0,1553756854,0,,500000.00,600000.00,400000.00,83.0,YAMAHA_YS24,0,0,,1,0.00,1,19,291,,0,0,0,0,0,0,0,0,0,0,0,1,,0.00,0.00,0.00,0,0.00,0.00,0
